lig1,lig2,Label,Label1,Label2,dir_1,dir_2,pre
d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,-0.07973191887140274
d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077227.pkl,-1.0499999999999998,-1.0499999999999998,-1.0499999999999998,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077227.pkl,-0.27792155742645264
d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1078691.pkl,-0.830000000000001,-0.830000000000001,-0.830000000000001,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1078691.pkl,0.0783526748418808
d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1078774.pkl,-0.2999999999999998,-0.2999999999999998,-0.2999999999999998,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1078774.pkl,0.08597531914710999
d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1078998.pkl,-0.1299999999999999,-0.1299999999999999,-0.1299999999999999,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1078998.pkl,0.7260475754737854
d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1082248.pkl,-0.6299999999999999,-0.6299999999999999,-0.6299999999999999,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1082248.pkl,-0.6174973249435425
d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,0.0,0.0,0.0,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,-0.07978736609220505
d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077227.pkl,-1.0499999999999998,-1.0499999999999998,-1.0499999999999998,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077227.pkl,-0.27792155742645264
d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1078691.pkl,-0.830000000000001,-0.830000000000001,-0.830000000000001,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1078691.pkl,0.0783526748418808
d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1078774.pkl,-0.2999999999999998,-0.2999999999999998,-0.2999999999999998,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1077204.pkl,d:\PBCNet2.0\case\toy_data\lig_eg5_CHEMBL1078774.pkl,0.08597536385059357
